Município,Código,Gentílico,Prefeito_2017,Área_Territorial_2018,População_estimada_pessoas_2019,Densidade_demográfica_2010,Escolarização_6_a_14_anos_%_2010,IDHMunicipal_2010,Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017,Receitas_realizadas_×1000_2017,Despesas_empenhadas_×1000_2017,PIB_per_capita_2017
Cristalândia do Piauí,2203008,cristalandense,ARIANO MESSIAS NOGUEIRA PARANAGUA,"1202,895",8294,"6,51","96,9","0,573","20,62","16982,87116","15378,65219","6590,56"
Cristino Castro,2203107,cristino-castrense,MANOEL PEREIRA DE SOUSA JUNIOR,"1846,339",10423,"5,41","97,9","0,566","6,21","32075,55822","27704,3474","9659,51"
Curimatá,2203206,curimataense,VALDECIR RODRIGUES DE ALBUQUERQUE JUNIOR,"2344,655",11388,"4,6","97,6","0,607","16,13","24055,05838","21122,68328","7938,47"
Currais,2203230,curralense,RAIMUNDO DE SOUSA SANTOS,"3156,657",4954,"1,49","98,6","0,542","14,29","23189,89072","15583,21269","32119,24"
Curralinhos,2203255,curralinhense,FRANCISCO ALCIDES MACHADO OLIVEIRA,"345,848",4443,"12,09","84,7","0,555","29,41","13668,67189","12623,91663","5986,56"
Curral Novo do Piauí,2203271,curral novense,ABEL FRANCISCO DE OLIVEIRA JUNIOR,"755,251",5343,"6,47","95,6","0,527","27,4","16920,99427","13704,25895","57549,37"
Demerval Lobão,2203305,morrinhense,LUIS GONZAGA DE CARVALHO JUNIOR,"216,807",13817,"61,24","97,9","0,618","15,15","32040,05026","29658,87834","9802,05"
Dirceu Arcoverde,2203354,arcoverdense,CARLOS GOMES DE OLIVEIRA,"1017,057",7011,"6,56","97,5","0,561","10,42",Não informado,Não informado,"6413,86"
Dom Expedito Lopes,2203404,dom-expedito-lopense,VALMIR BARBOSA DE ARAÚJO,"218,71",6904,"29,99","98,5","0,601","10,87","15381,40465","13068,66454","9856,15"
Domingos Mourão,2203420,domingos-mouronense,JULIO CESAR BARBOSA FRANCO,"848,705",4355,"5,04","95,8","0,55","16,95","12625,57011","11843,98706","7443,37"
Dom Inocêncio,2203453,inocentino,MARIA DAS VIRGENS DIAS,"3870,167",9556,"2,39","98,4","0,549","13,33","20616,96655","18661,41778","6031,27"
Elesbão Veloso,2203503,elesbonense,JOSE RONALDO GOMES BARBOSA,"1383,978",14602,"10,77","98,9","0,58","19,35","29373,79818","27174,11646","8603,12"
Eliseu Martins,2203602,eliseu-martinino,MARCOS AURELIO GUIMARAES DE ARAUJO,"1090,45",4915,"4,28","98,4","0,595",20,"14592,82853","13664,54798","8449,29"
Esperantina,2203701,esperantinense,VILMA CARVALHO AMORIM,"908,777",39737,"41,45","97,5","0,605","12,33","72886,22848","71734,37787","8659,36"
Fartura do Piauí,2203750,farturense,LAÊNIO ROMMEL RODRIGUES MACÊDO,"712,918",5307,"7,12","96,3","0,548","38,96","6866,75212","11281,58375","5340,05"
Flores do Piauí,2203800,florentino-do-piauí,ADINAEL RODRIGUES DE BARROS,"946,73",4463,"4,61",99,"0,547","16,13","13043,44806","11655,99295","8201,11"
Floresta do Piauí,2203859,florestense,AMILTON RODRIGUES DE SOUSA,"194,699",2558,"12,75","99,3","0,538","58,82","5088,68243","5515,7882","7942,88"
Floriano,2203909,florianense,JOEL RODRIGUES DA SILVA,"3409,647",59935,"16,92","98,1","0,7","16,34","141641,3422","120928,5278","17285,07"
Francinópolis,2204006,francinopolitano,PAULO CESAR RODRIGUES DE MORAIS,"268,702",5348,"19,48","97,5","0,564","17,24","12864,19584","11575,86989","6868,65"
Francisco Ayres,2204105,airense,VALKIR NUNES DE OLIVEIRA,"656,475",4348,"6,82","98,1","0,577","15,63","12745,84827","11909,83512","8494,75"
Francisco Macedo,2204154,francisco macedense,RAIMUNDO NONATO DE ALENCAR,"176,506",3184,"18,54","97,8","0,553","51,28","11489,26019","10311,65617","7447,46"
Francisco Santos,2204204,francisco-santense,LUIS JOSÉ DE BARROS,"491,865",9319,"17,47","97,4","0,608","10,31","19697,26269","16931,93601","6805,65"
Fronteiras,2204303,fronteirense,MARIA JOSE AYRES DE SOUSA,"778,204",11625,"14,33","97,5","0,619","16,81","37581,59783","31546,01684","12782,88"
Geminiano,2204352,geminianense,ERCULANO EDIMILSON DE CARVALHO,"441,336",5442,"11,84",97,"0,561","22,73","14154,26818","12016,40949","7979,84"
Gilbués,2204402,gilbuense,LEONARDO DE MORAIS MATOS,"3494,958",10690,"2,98","93,7","0,548","24,51","25861,84513","25369,73599","17665,72"
Guadalupe,2204501,guadalupense,MARIA JOZENEIDE FERNANDES LIMA,"1023,592",10499,"10,03","98,8","0,65","15,79","26771,74477","26817,43176","51697,69"
Guaribas,2204550,guaribano,CLAUDINE MATIAS MAIA,"3118,227",4562,"1,41","98,2","0,508","11,9","13595,51123","12681,98387","6833,16"
Hugo Napoleão,2204600,hugo-napoleonense,HELIO RODRIGUES ALVES,"224,455",3877,"16,8","96,8","0,599","21,28","13171,38105","12298,23884","7009,48"
Ilha Grande,2204659,ilhagrandense,HERBERT DE MORAES E SILVA,"134,015",9426,"66,36","98,1","0,563","18,29","19581,58151","18923,82527","7363,74"
Inhuma,2204709,inhumense,ANTÔNIO RUFINO DA SILVA JÚNIOR,"978,222",15308,"15,18","98,8","0,624","10,87","28264,54945","27340,8185","8119,96"
Ipiranga do Piauí,2204808,ipiranguense,JOSE SANTOS REGO,"529,417",9811,"17,67","94,9","0,63","18,69","24167,26633","21329,6211","7089,66"
Isaías Coelho,2204907,isaiense,FRANCISCO EUDES CASTELO BRANCO NUNES,"787,681",8549,"10,59",95,"0,582","16,13","18542,51204","17138,25662","6378,94"
Itainópolis,2205003,itainopolense,PAULO LOPES MOREIRA,"827,621",11530,"13,41","97,1","0,541","16,95","28404,00061","25724,92413","7035,48"
Itaueira,2205102,itaueirense,QUIRINO DE ALENCAR AVELINO,"2554,181",11019,"4,18","98,7","0,583","14,71","46576,98933","25063,51458","10054,21"
Jacobina do Piauí,2205151,jacobinense,GEDERLANIO RODRIGUES DE OLIVEIRA,"1333,796",5741,"4,17","97,7","0,535","36,36","14931,85453","13966,90395","7618,34"
Jaicós,2205201,jaicoense,OGILVAN DA SILVA OLIVEIRA,"865,144",19104,"20,85","95,1","0,524","11,03","40164,52849","36286,00057","8524,39"
Jardim do Mulato,2205250,jardimulatense,AIRTON JOSE DA COSTA VELOSO,"509,85",4504,"8,45","98,9","0,593","18,52","12658,3486","12596,03812","6648,42"
Jatobá do Piauí,2205276,jatobaense,JOSÉ CARLOS GOMES BANDEIRA,"650,681",4865,"7,13","98,9","0,566","21,74","14837,05033","14596,88111","8365,67"
Jerumenha,2205300,jerumenhense,ALDARA ROCHA LEAL VILAR PINTO,"1867,313",4452,"2,35","97,4","0,591","15,15","13145,21821","12126,03938","9894,35"
João Costa,2205359,joão costense,GILSON CASTRO DE ASSIS,"1800,244",3008,"1,64","96,9","0,561","27,78","17953,77877","14078,3885","8764,72"
Joaquim Pires,2205409,joaquim-pirense,GENIVAL BEZERRA DA SILVA,"739,979",14354,"18,68","96,2","0,522","4,5","31352,2017","27395,78493","6412,45"
Joca Marques,2205458,jocamarquense,EDILBERTO AGUIAR MARQUES FILHO,"166,442",5443,"30,64","97,2","0,504","36,14","15922,93451","15337,89776","6448,87"
José de Freitas,2205508,freitense,ROGER COQUEIRO LINHARES,"1538,172",39208,"24,11","98,7","0,618","19,45","75540,51965","70167,4135","8292,47"
Juazeiro do Piauí,2205516,juazeirense,JOSÉ VALDO SOARES ROCHA,"935,404",5478,"5,75","99,1","0,57","17,54","15591,98768","13401,04814",7738
Júlio Borges,2205524,julio borgense,EDUARDO HENRIQUE DE CASTRO ROCHA,"1283,915",5627,"4,14","98,6","0,582","10,42","15551,68152","15017,77043","7309,32"
Jurema,2205532,juremense,ELDER DA ROCHA SOUZA,"1271,889",4763,"3,55","99,2","0,555","31,25","16611,09069","15242,10304","7532,04"
Lagoinha do Piauí,2205540,lagoinense,ALCIONE BARBOSA VIANA,"67,617",2845,"39,35","96,9","0,597","32,26","11091,58172","9753,45988","7228,69"
Lagoa Alegre,2205557,lagoalegrense,CARLOS MAGNO FORTES MACHADO,"394,661",8542,"20,29","97,8","0,55","17,24","1267,34639","18549,50481","6995,78"
Lagoa do Barro do Piauí,2205565,lagoa do barrense,GILSON NUNES DE SOUSA,"1329,665",4655,"3,58","94,7","0,502","14,93","15076,29001","13675,16995","8142,49"
Lagoa de São Francisco,2205573,lagoense,VERIDIANO CARVALHO DE MELO,"155,639",6758,"41,26","98,3","0,529","13,7","16827,35737","14909,68714","5999,13"
Lagoa do Piauí,2205581,lagoense,ANTONIO FRANCISCO DE OLIVEIRA NETO,"427,325",4064,"9,05","98,9","0,583","17,86","18370,42042","14012,57216","10947,55"
Lagoa do Sítio,2205599,sitiolagoense,ANTÔNIO BENEDITO DE MOURA,"804,698",5177,"6,03","96,6","0,541","47,62","12927,49778","12742,57974","8990,88"
Landri Sales,2205607,landri-salesiano,AURELIO SARAIVA DE SA,"1088,583",5295,"4,85","98,7","0,584","37,97","16900,1108","15332,93344","11844,77"
Luís Correia,2205706,luís-correiense,FRANCISCO ARAUJO GALENO,"1074,712",30311,"26,52","95,4","0,541","31,78","65225,26447","62511,12573","9630,06"
Luzilândia,2205805,luzilandense,RONALDO DE SOUSA AZEVEDO,"704,347",25486,"35,1","96,1","0,545","5,06","45111,92813","43401,868","7644,15"
Madeiro,2205854,madeirense,JOSÉ CASSIMIRO DE ARAÚJO NETO,"177,153",8310,"44,12","97,8","0,563","22,9","20434,27687","19096,36138","5954,09"
Manoel Emídio,2205904,manoel-emidense,JOSE MEDEIROS DA SILVA,"1618,992",5349,"3,22",99,"0,573","13,7","80,01341","14666,29822","8053,51"
Marcolândia,2205953,marcolandense,FRANCISCO PEDRO DE ARAUJO,"139,973",8492,"54,3","94,5","0,562","32,79","20256,57473","18957,49576","7432,5"
Marcos Parente,2206001,marcos-parentense,PEDRO NUNES DE SOUSA,"677,414",4549,"6,58","97,3","0,59","42,86","14014,78847","12196,11307","8872,92"
Massapê do Piauí,2206050,massapêense,FRANCISCO EPIFANIO CARVALHO REIS,"530,016",6441,"11,94","98,6","0,525","40,82","18144,30665","16011,58747","6145,42"
Matias Olímpio,2206100,matiense,EDISIO ALVES MAIA,"226,375",10936,"46,26","98,5","0,562","11,76","24193,57103","23585,83691","6700,6"
Miguel Alves,2206209,miguel-alvense,MIGUEL BORGES DE OLIVEIRA JÚNIOR,"1393,714",33760,"23,17","96,6","0,539","21,4","62959,60603","66953,70893","6868,16"
Miguel Leão,2206308,leonino,ROBERTO CÉSAR DE ÁREA LEÃO NASCIMENTO,"93,412",1246,"13,4","99,6","0,623","71,43","9227,04662","8248,63563","11990,69"
Milton Brandão,2206357,milton brandãoense,EXPEDITO RODRIGUES DE SOUSA,"1309,128",6613,"4,93","98,9","0,508","26,67","15756,66539","15264,30988","6633,41"
Monsenhor Gil,2206407,monsenhorgilense,JOÃO LUIZ CARVALHO DA SILVA,"567,545",10564,"18,17","98,8","0,615","38,46","24182,97964","21251,45441","8745,55"
Monsenhor Hipólito,2206506,hipolitano,ZENON DE MOURA BEZERRA,"401,433",7749,"18,41","96,7","0,561","12,05","18407,18284","16370,10783","7136,71"
Monte Alegre do Piauí,2206605,montealegrense,DAVINELSON SOARES ROSAL,"2417,933",10613,"4,28","98,3","0,578","9,9","30161,71877","27518,0085","14847,26"
Morro Cabeça no Tempo,2206654,morrense,ANTONIO CARLOS BATISTA DE FIGUEREDO,"2210,461",4532,"1,92","97,7","0,542","14,08","13553,41232","13336,89642","7532,1"
Morro do Chapéu do Piauí,2206670,morrochapeuense,MARCOS HENRIQUE FORTES REBELO,"328,289",6796,"19,8","98,8","0,55","24,19","17116,47225","16643,62427","6657,93"
Murici dos Portelas,2206696,muriciense,RICARDO DO NASCIMENTO MARTINS SALES,"480,567",9159,"17,57","96,1","0,53","8,4","22771,74177","20317,76151","7195,48"
Nazaré do Piauí,2206704,nazareno-do-piauí,RAIMUNDO NONATO COSTA,"1315,84",7339,"5,56","99,3","0,576","12,2","17461,18715","16289,00381","6714,34"
Nazária,2206720,,OSVALDO BONFIM DE CARVALHO,"364,525",8570,"22,19","97,1","0,602","6,21","23422,2238","19021,90086","9361,34"
Nossa Senhora de Nazaré,2206753,nazareno,LUIZ CARDOSO DE OLIVEIRA NETO,"356,264",4870,"12,79","95,5","0,586","18,52","15386,46749","14454,96582","6973,01"
Nossa Senhora dos Remédios,2206803,remediense,MANOEL DE JESUS SILVA,"357,896",8692,"22,89","96,6","0,533","14,18","22680,34842","21842,29398","6998,83"
Novo Oriente do Piauí,2206902,novo-orientino,ARNILTON NOGUEIRA DOS SANTOS,"525,906",6565,"12,37","97,7","0,562","14,29","15894,61852","15360,16045","6497,1"
Novo Santo Antônio,2206951,santantoniense,EDGAR GERALDO DE ALENCAR BONA MIRANDA,"445,331",2991,"6,77","96,5","0,528","102,56","12273,67672","10802,68713","7521,55"
Oeiras,2207009,oeirense,JOSÉ RAIMUNDO DE SÁ LOPES,"2702,486",37029,"13,19","97,9","0,634","15,9","68917,28051","64802,78674","11009,05"
Olho D'Água do Piauí,2207108,olho d’aguense,ANTONIO FRANCISCO DOS SANTOS,"183,121",2459,"11,96","96,7","0,576","23,26","10841,85543","9914,1504","8296,87"
Padre Marcos,2207207,padre-marquense,JOSE VALDINAR DA SILVA,"278,637",6868,"24,47","99,5","0,541","11,11","17219,72301","15682,16473","8013,96"
Paes Landim,2207306,paes-landinense,GUTEMBERG MOURA DE ARAUJO,"401,378",4129,"10,11","98,5","0,575","15,63","14098,90808","13330,45812","8643,1"
Pajeú do Piauí,2207355,pajeuense,SEBASTIANA VIEIRA DE CARVALHO,"986,95",3389,"3,12",98,"0,559","35,71","13480,52443","13302,83384","8192,99"
Palmeira do Piauí,2207405,palmeirino,JOAO DA CRUZ ROSAL DA LUZ,"2023,513",5043,"2,47","97,4","0,557","26,32","15953,57164","12759,86461","14312,04"
Palmeirais,2207504,palmeirense,REGINALDO SOARES VELOSO JUNIOR,"1499,18",14539,"9,17","98,3","0,562","20,94","31990,70453","32426,2726","6810,07"
Paquetá,2207553,paquetaense,THALES COELHO PIMENTEL,"432,681",3945,"9,25","96,9","0,509","64,52","14093,62041","12421,38159","8578,34"
Parnaguá,2207603,parnaguaense,JONDSON CASTRO FE,"3429,282",10791,3,"96,4","0,575","24,1","32102,99962","26978,44793","7629,27"
Parnaíba,2207702,parnaibano,FRANCISCO DE ASSIS DE MORAES SOUZA,"435,942",153078,"334,51","97,5","0,687","14,72","340708,3322","321306,773","13534,25"
Passagem Franca do Piauí,2207751,passagemfranquense,RAISLAN FARIAS DOS SANTOS,"643,438",4313,"5,35","98,9","0,561","34,48",Não informado,Não informado,"7853,59"
Patos do Piauí,2207777,patoense,AGENILSON TEIXEIRA DIAS,"803,3",6392,"8,12","98,4","0,563","35,09","16359,03285","15380,80495","7230,59"
Pau D'Arco do Piauí,2207793,paudarquiense,JOSENILTON DE SOUSA RODRIGUES BACELAR,"430,817",4045,"8,72","98,1","0,514","96,77","12459,43257","9938,17922","6122,5"
Paulistana,2207801,paulistanense,GILBERTO JOSÉ DE MELO,"1941,393",20523,"10,04","97,9","0,6","20,29","56081,65085","50043,2428","9520,24"
Pavussu,2207850,pavussuense,JULIMAR BARBOSA DA SILVA,"1090,697",3677,"3,36","97,8","0,526","20,83","12901,31676","10447,93147","7676,3"
Pedro II,2207900,pedro-segundense,ALVIMAR OLIVEIRA DE ANDRADE,"1544,565",38742,"24,7","97,3","0,571","10,66","86140,9556","66740,59688","7596,27"
Pedro Laurentino,2207934,pedro laurentinense,LEONCIO LEITE DE SOUSA,"870,338",2536,"2,77","97,2","0,562",40,"11379,13206","10006,57824","8416,55"
Nova Santa Rita,2207959,Santaritense,ANTONIO FRANCISCO RODRIGUES DA SILVA,"909,734",4374,"4,6","97,1","0,554","16,13","13902,00332","13698,26697","7668,97"
Picos,2208007,picoense,JOSÉ WALMIR DE LIMA,"577,304",78222,"137,3","98,3","0,698","15,63","184481,1599","179285,4319","18531,43"
Pimenteiras,2208106,pimenteirense,ANTONIO VENICIO DO Ó DE LIMA,"4562,9",12127,"2,57","98,9","0,566","7,09","25488,71329","25870,49967","6701,99"
Pio IX,2208205,pio-nonense,REGINA COELI VIANA DE ANDRADE E SILVA,"1947,212",18425,"9,08","98,8","0,564","9,17","37914,12969","37586,2965","7408,7"
Piracuruca,2208304,piracuruquense,RAIMUNDO ALVES FILHO,"2369,21",28791,"11,57","94,8","0,596","15,42","52130,77281","48756,05716","9195,58"
Piripiri,2208403,piripiriense,LUIZ CAVALCANTE E MENEZES,"1409,25",63742,"43,89","97,3","0,635","11,83","124496,2454","111283,4756","10475,51"
Porto,2208502,portuense,DOMINGOS BACELAR DE CARVALHO,"253,21",12568,"47,08",98,"0,549","11,11","26808,63574","27270,5884","6544,36"
Porto Alegre do Piauí,2208551,porto alegrense,MARCIO NEIVA MARTINS,"1169,441",2710,"2,19","98,9","0,563","35,71","12313,94079","11914,60031","8520,42"
Prata do Piauí,2208601,pratense,WILLHELM BARBOSA LIMA,"198,566",3151,"15,71","98,5","0,565","26,32","5543,27966","10023,90526","7104,01"
Queimada Nova,2208650,queimadanovense,RAIMUNDO JULIO COELHO,"1284,674",8992,"6,32","99,3","0,515","9,35","19016,33017","17424,73044","7724,48"
Redenção do Gurguéia,2208700,gurgueíno,ANGELO JOSE SENA SANTOS,"2468,007",8778,"3,4","97,9","0,589","7,09","19925,31614","17427,18525","7807,64"
Regeneração,2208809,regenerense,HERMES TEIXEIRA NUNES JUNIOR,"1251,036",17978,"14,03","97,4","0,591","3,77","40933,85553","36690,19373","8909,6"
Riacho Frio,2208858,riacho friense,ADALBERTO GERARDO ROCHA MASCARENHAS,"2222,096",4312,"1,91","98,9","0,541","30,77","15010,33249","13797,20791","8277,65"
Ribeira do Piauí,2208874,ribeirense,ARNALDO ARAÚJO PEREIRA DA COSTA,"1012,479",4477,"4,25","98,4","0,52","18,18","19252,97263","15452,31705","25268,13"
Ribeiro Gonçalves,2208908,ribeiro-gonçalvino,LINDENBERG VIEIRA DA SILVA,"3978,944",7341,"1,72","96,8","0,601","26,32","23907,02368","22229,96172","48076,94"
Rio Grande do Piauí,2209005,rio-grandense-do-piauí,MAURÍCIO MARTINS COSTA SILVA,"635,951",6432,"9,86","96,5","0,572","24,1","15796,58622","14990,19608","7058,55"
Santa Cruz do Piauí,2209104,santa-cruzense,FRANCISCO BARROSO DE CARVALHO NETO,"583,097",6240,"9,85","96,8","0,601","12,66","14598,49546","13595,61256","7973,41"
Santa Cruz dos Milagres,2209153,santacruzense,WILNEY RODRIGUES DE MOURA,"978,565",4019,"3,87","98,6","0,577","54,05","11892,9292","10633,52481","8248,29"
Santa Filomena,2209203,filomense,CARLOS AUGUSTO DE ARAUJO BRAGA,"5285,437",6253,"1,15","97,6","0,544","30,3","20195,45181","17795,81906","34627,48"
Santa Luz,2209302,santa-luzense,CIDELTON DA CUNHA PINHEIRO,"1186,844",5860,"4,65","99,5","0,588","24,1","13413,32196","12920,43878",7963
Santana do Piauí,2209351,santanense,FRANCISCO RAIMUNDO DE MOURA,"111,063",4634,"34,84","96,1","0,574","65,22","12951,98763","11190,2852","7178,07"
Santa Rosa do Piauí,2209377,santarosense,VERISSIMO ANTONIO SIQUEIRA DA SILVA,"340,198",5257,"15,14",99,"0,567","28,17","13554,75682","11278,12276","6922,08"
Santo Antônio de Lisboa,2209401,santo-antoense,WELINGTON CARLOS SILVA,"385,135",6415,"15,51","93,5","0,584","25,64","13307,98414","11681,3077","9225,25"
Santo Antônio dos Milagres,2209450,santoantonhense,ADALBERTO GOMES VILANOVA SOUSA FILHO,"33,668",2161,"62,12","97,5","0,619","23,81","10465,95636","8921,77999","6114,28"
Santo Inácio do Piauí,2209500,santinacense,TAIRO MOURA MESQUITA,"852,892",3798,"4,28","99,3","0,613","62,5","13511,23533","12817,27701","7340,05"
São Braz do Piauí,2209559,san-brazense,NILTON PEREIRA CARDOSO,"656,361",4448,"6,57","98,7","0,596","18,52","13567,75022","14389,00431","6375,15"
São Félix do Piauí,2209609,são-felicense,JOSE JAILSON PIO,"627,157",2942,"4,67",100,"0,61","35,71","128,64021","10343,23721","8347,67"
São Francisco de Assis do Piauí,2209658,sãofranciscoense,JOSIMAR JOÃO DE OLIVEIRA,"1072,48",5755,"5,06",96,"0,485","46,15","17196,50948","13398,5124","6904,42"
São Francisco do Piauí,2209708,são-franciscano,ANTONIO MARTINS DE CARVALHO,"1340,665",6423,"4,7","98,4","0,57","20,83","20144,19608","17792,75488","7600,49"
São Gonçalo do Gurguéia,2209757,são gonçalense,PAULO LUSTOSA NOGUEIRA,"1385,3",3041,"2,04","97,4","0,56",25,"11629,74715","11197,49833","9616,43"
São Gonçalo do Piauí,2209807,são-gonçalense,LUIS DE SOUSA RIBEIRO JUNIOR,"150,07",5015,"31,65","97,7","0,616","14,29","14857,18438","11861,49408","7167,87"
São João da Canabrava,2209856,canabravense,MERCIA DE ARAUJO ABREU,"480,537",4608,"9,26","96,8","0,559","21,28","15109,7642","13621,79682","7159,66"
São João da Fronteira,2209872,são jão fronteirense,ANTONIO ERIVAN RODRIGUES FERNANDES,"817,111",6042,"7,33","88,3","0,515","14,08","15741,72047","13735,94487","7493,83"
São João da Serra,2209906,serra-jonense,ANANIAS FERNANDES DE SOUSA,"997,035",6139,"6,12","99,1","0,582","17,86","7398,76515","14580,70013","7777,26"
São João da Varjota,2209955,sanjoanense,HELIO NERI MENDES REGO,"395,306",4840,"11,77","96,9","0,559","25,32","13581,55358","11961,72279",6264
São João do Arraial,2209971,são jãoense,BENEDITA VILMA LIMA,"213,355",7989,"34,38","98,4","0,523","6,67","18221,93235","17277,28584","5910,73"
São João do Piauí,2210003,são-joanense,GIL CARLOS MODESTO ALVES,"1527,773",20601,"12,8","98,3","0,645","13,33","53644,45795","52610,32457","10652,35"
São José do Divino,2210052,sãojoseense,ANTONIO NONATO LIMA GOMES,"319,082",5346,"16,13","99,2","0,565","18,18","14622,78516","12846,07245","8627,17"
São José do Peixe,2210102,são-joseense,VALDEMAR DOS SANTOS BARROS,"1287,174",3745,"2,87","97,5","0,573","30,77","13523,20391","12487,67466","8793,97"
São José do Piauí,2210201,são-joseense,JOÃO BEZERRA NETO,"373,347",6705,"18,06","97,5","0,552","14,49","13687,11323","13491,45665","7873,15"
São Julião,2210300,são-julianense,JONAS BEZERRA DE ALENCAR,"291,115",6363,"22,07","94,3","0,594","15,63","17088,97766","15242,52904","7025,78"
São Lourenço do Piauí,2210359,lourenciano,MICHELLE DE OLIVEIRA CRUZ,"672,709",4573,"6,58","98,9","0,595","16,39","14186,92375","12401,31315","6643,96"
São Luis do Piauí,2210375,sãoluisense,RAIMUNDO RENATO VICENTE DE ARAUJO SOUSA,"217,924",2644,"11,62",97,"0,554","34,48","10689,18566","9791,515","6624,34"
São Miguel da Baixa Grande,2210383,sãomiquelense,JOSEMAR TEIXEIRA MOURA,"445,599",2452,"5,49","98,9","0,563","90,91","59,73257","8860,61796","8409,06"
São Miguel do Fidalgo,2210391,fidalguense,CRISTOVÃO DIAS DE OLIVEIRA,"813,444",3039,"3,66","98,7","0,535","103,45","11602,86967","10920,63874","7862,29"
São Miguel do Tapuio,2210409,tapuiense,POMPILIO EVARISTO CARDOSO FILHO,"4988,193",17662,"3,48","97,5","0,556","14,35","48150,87719","37841,09592","6971,17"
São Pedro do Piauí,2210508,são-pedrense,JOSÉ MARIA RIBEIRO DE AQUINO JÚNIOR,"518,288",14291,"26,32","98,4","0,595","26,09","30144,58443","28378,32444","7302,46"
São Raimundo Nonato,2210607,são-raimundense,CARMELITA DE CASTRO SILVA,"2415,602",34710,"13,38",98,"0,661","17,13","65149,95424","62121,81633","11955,03"
Sebastião Barros,2210623,sebastião barrense,ONELIO CARVALHO DOS SANTOS,"893,716",3469,"3,98","99,3","0,536","16,39","13553,41232","13336,89642","10254,3"
Sebastião Leal,2210631,sebastião-lealense,ANGELO PEREIRA DE SOUSA,"3151,588",4294,"1,31","97,6","0,562","22,73","19130,41333","16770,46266","29192,12"
Sigefredo Pacheco,2210656,sigefredense,OSCAR BARBOSA DA SILVA,"1031,489",10041,"9,95","99,2","0,581","9,35","20741,2814","17945,23567","6252,92"
Simões,2210706,simonense,JOSE WILSON DE CARVALHO,"1075,518",14633,"13,23","95,3","0,575","13,27","35710,29048","36149,90934","32220,27"
Simplício Mendes,2210805,simplício-mendense,HELI DE ARAUJO MOURA FE,"1353,39",12711,"8,97","98,6","0,627","11,43","39720,45351","29871,76997","10605,66"
Socorro do Piauí,2210904,socorrense,JOSE COELHO FILHO,"761,854",4569,"5,94","97,8","0,561","34,48","14447,86074","16630,64372","7438,05"
Sussuapara,2210938,sussuaparense,EDVARDO ANTÔNIO DA ROCHA,"205,741",6730,"29,7","93,7","0,586","13,7","15446,05152","13753,90824","7295,99"
Tamboril do Piauí,2210953,tamborilense,ANA DELCIDES FIGUEIREDO GUEDES,"1587,296",2919,"1,73","99,6","0,501","21,74","12540,20191","10582,26539","7636,13"
Tanque do Piauí,2210979,tanquense,FRANCISCO PEREIRA DA SILVA FILHO,"398,723",2765,"6,57","97,9","0,579","52,63","11484,11815","10337,01166","9965,84"
Teresina,2211001,teresinense,FIRMINO DA SILVEIRA SOARES FILHO,"1391,046",864845,"584,94","97,8","0,751","16,49","2804376,072","2669283,432","22481,67"
União,2211100,unionense,PAULO HENRIQUE MEDEIROS COSTA,"1173,447",44485,"36,35","97,9","0,577","15,65","88044,58508","87307,80997","7742,13"
Uruçuí,2211209,uruçuiense,FRANCISCO WAGNER PIRES COELHO,"8411,904",21558,"2,4",97,"0,631","21,48","72450,40111","62120,62513","59528,58"
Valença do Piauí,2211308,valenciano,MARIA DA CONCEIÇÃO CUNHA DIAS,"1333,722",20918,"15,23","98,6","0,647","6,97","45444,32883","42662,67051","10862,53"
Várzea Branca,2211357,varzea-branquense,IDEVALDO RIBEIRO DA SILVA,"450,755",4947,"10,9","97,9","0,553","28,99","15047,23541","14562,80699","7127,94"
Várzea Grande,2211407,várzea-grandense,CLÁUDIA REGINA MEDEIROS E SILVA,"237,013",4391,"18,29","99,6","0,571","16,13","13017,22387","11673,39861","7148,74"
Vera Mendes,2211506,veramendense,MILTON DA SILVA OLIVEIRA,"341,974",3077,"8,73","98,2","0,503","43,48","14036,1438","12432,50237","7950,5"
Vila Nova do Piauí,2211605,vilanovense,EDILSON EDMUNDO DE BRITO,"221,654",2971,"14,09","98,7","0,565","27,78","13552,75494","11517,72334","9829,32"
Wall Ferraz,2211704,wal farrazense,DANILO ARAÚJO NUNES MARTINS,"269,987",4462,"15,85","97,3","0,544","58,82","13474,81433","12680,94248","7152,49"
Água Clara,5000203,água-clarense,EDVALDO ALVES DE QUEIROZ,"7784,924",15522,"1,31","96,6","0,67","6,33","74959,24032","65039,34516","99273,95"
Alcinópolis,5000252,alcinopolense,DALMY CRISOSTOMO DA SILVA,"4399,681",5343,"1,04",98,"0,711","22,22","41911,08558","30503,14667","31626,34"
Amambai,5000609,amambaiense,EDINALDO LUIZ DE MELO BANDEIRA,"4202,324",39396,"8,26","93,2","0,673","13,93","120972,9738","117581,4981","23460,99"
Anastácio,5000708,anastaciano,NILDO ALVES DE ALBRES,"2946,317",25135,"8,08","98,4","0,663","21,86","58708,1822","44737,66644","16851,68"
Anaurilândia,5000807,anaurilandense,EDSON STEFANO TAKAZONO,"3395,437",9035,"2,5","98,9","0,67",25,"32123,40232","26760,84273","22928,74"
Angélica,5000856,angeliquense,ROBERTO SILVA CAVALCANTI,"1273,268",10780,"7,21","98,2","0,697","5,81","43442,36917","34911,70891","68997,45"
