Município,Código,Gentílico,Prefeito_2017,Área_Territorial_2018,População_estimada_pessoas_2019,Densidade_demográfica_2010,Escolarização_6_a_14_anos_%_2010,IDHMunicipal_2010,Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017,Receitas_realizadas_×1000_2017,Despesas_empenhadas_×1000_2017,PIB_per_capita_2017
Brejo Alegre,3507753,brejoalegrense,ADRIANO MARCELO BONILHA,"105,689",2865,"24,41","95,9","0,71","28,57","20227,97667","17945,73318","68785,63"
Brodowski,3507803,brodosquiano,JOSE LUIZ PEREZ,"278,458",24939,"75,8","97,5","0,755","9,09","78111,5528","68887,22289","26538,75"
Brotas,3507902,brotense,LEANDRO CORRÊA,"1101,374",24403,"19,59","99,1","0,74","7,33","94406,93639","80495,01377","33700,04"
Buri,3508009,buriense,OMAR YAHYA CHAIN,"1195,91",19878,"15,52","98,5","0,667","13,16","74241,65561","61416,11714","18670,83"
Buritama,3508108,buritamense,RODRIGO ZACARIAS DOS SANTOS,"326,921",17144,"47,19","96,7","0,763","5,59","78465,55996","60923,04761","35870,84"
Buritizal,3508207,buritinense,AGLIBERTO GONÇALVES,"266,42",4481,"15,21","99,4","0,735","55,56","26483,07913","22451,55903","40391,93"
Cabrália Paulista,3508306,cabraliense,JOSÉ MADRIGAL RUDA FILHO,"239,974",4264,"18,19","97,5","0,694","38,46","19157,79667","15972,61734","19410,62"
Cabreúva,3508405,cabreuvano,HENRIQUE MARTIN,"260,234",49707,"159,87","97,3","0,738","16,62","206809,2262","192730,9112","89694,92"
Caçapava,3508504,caçapavense,FERNANDO CID DINIZ BORGES,"368,99",94263,"229,66",98,"0,788","9,5","245450,2308","222305,8341","44013,99"
Cachoeira Paulista,3508603,cachoeirense,EDSON MENDES MOTA,"287,99",33327,"104,49",98,"0,764","17,33","88016,7067","78329,61452","18044,77"
Caconde,3508702,cacondense,JOSÉ BENTO FELIZARDO FILHO,"468,214",18985,"39,44","97,7","0,72","14,15","52754,87491","48676,07968","18060,11"
Cafelândia,3508801,cafelandense,LUIS ZAMPIERI RIBEIRO PAULIQUEVIS,"920,28",17767,"18,05","96,7","0,742","8,89","62054,66542","58718,12186","26542,48"
Caiabu,3508900,caiabuense,DARIO MARQUES PINHEIRO,"253,352",4191,"16,11","98,9","0,729","20,83","17842,45456","15597,89667","14390,13"
Caieiras,3509007,caieirense,GERSON MOREIRA ROMERO,"97,642",101470,"900,37","94,8","0,781","7,54","290687,0754","237564,9563","33491,19"
Caiuá,3509106,caiuense,RUTE ALMEIDA DOS SANTOS LIMA,"551,159",5874,"9,16","99,3","0,697","46,51","30250,15624","26171,0968","13633,51"
Cajamar,3509205,cajamarense,DANILO BARBOSA MACHADO,"131,386",76801,"488,18","96,5","0,728","13,52","447553,5002","386498,4297","202962,5"
Cajati,3509254,cajatiense,LUCIVAL JOSÉ CORDEIRO,"454,436",28549,"62,43","98,4","0,694","10,06","101869,7944","84204,3461","54220,11"
Cajobi,3509304,cajobiense,GUSTAVO SEBASTIÃO DA COSTA,"176,929",10542,"55,22","99,7","0,734","10,42","32487,39429","30216,52334","14620,34"
Cajuru,3509403,cajuruense,JOÃO BATISTA RUGGERI RÉ,"660,088",26167,"35,41","97,1","0,713","11,73","67029,45859","59784,761","22413,69"
